Item,2015.01,2015.02,2015.03,2015.04,2015.05,2015.06,2015.07,2015.08,2015.09,2015.10,2015.11,2015.12
M2,1242710.21854,1257380.47848,1275332.78,1280779.14,1307357.63,1333375.36454,1353210.92483,1356907.98,1359824.06,1361020.70463,1373956.01,1392278.1092
M1,348109.502246,334439.222673,337210.52,336388.24,343085.86,356082.855459,353122.193829,362793.73,364416.9,375806.449677,387618.32,400953.440048
M0,63040.5067311,72896.1934843,61949.81,60772.46,59075.97,58604.2643448,59010.7076885,59061.79,61022.97,59900.4753508,60328.24,63216.5779701
