Item,2017.01,2017.02,2017.03,2017.04,2017.05,2017.06,2017.07,2017.08,2017.09

M2,1575945.59,1582913.07,1599609.57,1596331.86839,1601360.41523,1631282.53009,1628996.63082,1645156.60059,1655662.06769

M1,472526.45,476527.6,488770.09,490180.419727,496389.782173,510228.165977,510484.577519,518113.929799,517863.037329

M0,86598.61,71727.69,68605.05,68392.5963723,67333.2071411,66977.68162,67129.0414026,67550.9894732,69748.54

